athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Vincent Defrasne",24,France,2002,Biathlon,0,0,1,1
"Egil Gjelland",28,Norway,2002,Biathlon,1,0,0,1
"Halvard Hanevold",32,Norway,2002,Biathlon,1,0,0,1
"Svetlana Ishmuratova",29,Russia,2002,Biathlon,0,0,1,1
"Galina Kukleva",29,Russia,2002,Biathlon,0,0,1,1
"Gilles Marguet",34,France,2002,Biathlon,0,0,1,1
"Viktor Maygurov",33,Russia,2002,Biathlon,0,0,1,1
"Irina Nikulchina",27,Bulgaria,2002,Biathlon,0,0,1,1
"Wolfgang Perner",34,Austria,2002,Biathlon,0,0,1,1
"Julien Robert",27,France,2002,Biathlon,0,0,1,1
"Peter Sendel",29,Germany,2002,Biathlon,0,1,0,1
"Ann Elen Skjelbreid",30,Norway,2002,Biathlon,0,1,0,1
"Linda Tjørhom",22,Norway,2002,Biathlon,0,1,0,1
"Sébastien Amiez",29,France,2002,"Alpine Skiing",0,1,0,1
"Daniela Ceccarelli",26,Italy,2002,"Alpine Skiing",1,0,0,1
"Martina Ertl-Renz",28,Germany,2002,"Alpine Skiing",0,0,1,1
"Isolde Kostner",26,Italy,2002,"Alpine Skiing",0,1,0,1
"Carole Montillet-Carles",28,France,2002,"Alpine Skiing",1,0,0,1
"Sonja Nef",29,Switzerland,2002,"Alpine Skiing",0,0,1,1
"Laure Pequegnot",26,France,2002,"Alpine Skiing",0,1,0,1
"Karen Putzer",23,Italy,2002,"Alpine Skiing",0,0,1,1
"Andreas Schifferer",27,Austria,2002,"Alpine Skiing",0,0,1,1
"Fritz Strobl",29,Austria,2002,"Alpine Skiing",1,0,0,1
"Jean-Pierre Vidal",24,France,2002,"Alpine Skiing",1,0,0,1
