athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Kristin Størmer Steira",28,Norway,2010,"Cross Country Skiing",1,0,0,1
"Martin Johnsrud Sundby",25,Norway,2010,"Cross Country Skiing",0,1,0,1
"Tim Tscharnke",20,Germany,2010,"Cross Country Skiing",0,1,0,1
"Katrin Zeller",30,Germany,2010,"Cross Country Skiing",0,1,0,1
"Richy Adjei",27,Germany,2010,Bobsleigh,0,1,0,1
"David Bissett",30,Canada,2010,Bobsleigh,0,0,1,1
"Lascelles Brown",35,Canada,2010,Bobsleigh,0,0,1,1
"Shelley-Ann Brown",29,Canada,2010,Bobsleigh,0,1,0,1
"Thomas Florschütz",32,Germany,2010,Bobsleigh,0,1,0,1
"Steve Holcomb",29,"United States",2010,Bobsleigh,1,0,0,1
"Kaillie Humphries",24,Canada,2010,Bobsleigh,1,0,0,1
"Chris le Bihan",32,Canada,2010,Bobsleigh,0,0,1,1
"Steve Mesler",31,"United States",2010,Bobsleigh,1,0,0,1
"Elana Meyers",25,"United States",2010,Bobsleigh,0,0,1,1
"Heather Moyse",31,Canada,2010,Bobsleigh,1,0,0,1
"Justin Olsen",22,"United States",2010,Bobsleigh,1,0,0,1
"Erin Pac",29,"United States",2010,Bobsleigh,0,0,1,1
"Martin Putze",25,Germany,2010,Bobsleigh,0,1,0,1
"Alexander Rödiger",24,Germany,2010,Bobsleigh,0,1,0,1
"Lyndon Rush",29,Canada,2010,Bobsleigh,0,0,1,1
"Curt Tomasevicz",29,"United States",2010,Bobsleigh,1,0,0,1
"Helen Upperton",30,Canada,2010,Bobsleigh,0,1,0,1
"Aleksey Voyevoda",29,Russia,2010,Bobsleigh,0,0,1,1
"Aleksandr Zubkov",35,Russia,2010,Bobsleigh,0,0,1,1
"Sandrine Bailly",30,France,2010,Biathlon,0,1,0,1
"Sylvie Becaert",34,France,2010,Biathlon,0,1,0,1
"Tora Berger",28,Norway,2010,Biathlon,1,0,0,1
"Anna Bogaly-Titovets",30,Russia,2010,Biathlon,1,0,0,1
"Tarjei Bø",21,Norway,2010,Biathlon,1,0,0,1
"Ivan Cherezov",29,Russia,2010,Biathlon,0,0,1,1
"Maksim Chudov",27,Russia,2010,Biathlon,0,0,1,1
"Darya Domracheva",23,Belarus,2010,Biathlon,0,0,1,1
"Simon Eder",27,Austria,2010,Biathlon,0,1,0,1
"Jakov Fak",22,Croatia,2010,Biathlon,0,0,1,1
"Björn Ferry",31,Sweden,2010,Biathlon,1,0,0,1
"Martin Fourcade",21,France,2010,Biathlon,0,1,0,1
"Martina Glagow-Beck",30,Germany,2010,Biathlon,0,0,1,1
"Halvard Hanevold",40,Norway,2010,Biathlon,1,0,0,1
"Andrea Henkel",32,Germany,2010,Biathlon,0,0,1,1
"Pavol Hurajt",32,Slovakia,2010,Biathlon,0,0,1,1
"Yelena Khrustalyova",29,Kazakhstan,2010,Biathlon,0,1,0,1
"Dominik Landertinger",22,Austria,2010,Biathlon,0,1,0,1
"Daniel Mesotitsch",33,Austria,2010,Biathlon,0,1,0,1
"Sergey Novikov",30,Belarus,2010,Biathlon,0,1,0,1
"Olga Pylyova-Medvedtseva",34,Russia,2010,Biathlon,1,0,0,1
"Anton Shipulin",22,Russia,2010,Biathlon,0,0,1,1
"Svetlana Sleptsova",23,Russia,2010,Biathlon,1,0,0,1
"Kati Wilhelm",33,Germany,2010,Biathlon,0,0,1,1
"Didier Défago",32,Switzerland,2010,"Alpine Skiing",1,0,0,1
"Andrea Fischbacher",24,Austria,2010,"Alpine Skiing",1,0,0,1
"Carlo Janka",23,Switzerland,2010,"Alpine Skiing",1,0,0,1
"Kjetil Jansrud",24,Norway,2010,"Alpine Skiing",0,1,0,1
"André Myhrer",27,Sweden,2010,"Alpine Skiing",0,0,1,1
"Anja Pärson",28,Sweden,2010,"Alpine Skiing",0,0,1,1
"Giuliano Razzoli",25,Italy,2010,"Alpine Skiing",1,0,0,1
"Viktoria Rebensburg",20,Germany,2010,"Alpine Skiing",1,0,0,1
"Marlies Schild",28,Austria,2010,"Alpine Skiing",0,1,0,1
"Andrew Weibrecht",24,"United States",2010,"Alpine Skiing",0,0,1,1
"Šárka Záhrobská",25,"Czech Republic",2010,"Alpine Skiing",0,0,1,1
"Silvan Zurbriggen",28,Switzerland,2010,"Alpine Skiing",0,0,1,1
