athlete,age,country,year,sport,"Gold Medals","Silver Medals","Bronze Medals","Total Medals"
"Hilde Gjermundshaug Pedersen",41,Norway,2006,"Cross Country Skiing",0,0,1,1
"Sara Renner",29,Canada,2006,"Cross Country Skiing",0,1,0,1
"Vasily Rochev",25,Russia,2006,"Cross Country Skiing",0,0,1,1
"Aino-Kaisa Saarinen",27,Finland,2006,"Cross Country Skiing",0,0,1,1
"Evi Sachenbacher-Stehle",25,Germany,2006,"Cross Country Skiing",0,1,0,1
"Andreas Schlütter",33,Germany,2006,"Cross Country Skiing",0,1,0,1
"Beckie Scott",31,Canada,2006,"Cross Country Skiing",0,1,0,1
"Alyona Sidko",26,Russia,2006,"Cross Country Skiing",0,0,1,1
"Anders Södergren",28,Sweden,2006,"Cross Country Skiing",0,0,1,1
"René Sommerfeldt",31,Germany,2006,"Cross Country Skiing",0,1,0,1
"Jens Arne Svartedal",30,Norway,2006,"Cross Country Skiing",0,1,0,1
"Fulvio Valbusa",37,Italy,2006,"Cross Country Skiing",1,0,0,1
"Sabina Valbusa",34,Italy,2006,"Cross Country Skiing",0,0,1,1
"Andrus Veerpalu",35,Estonia,2006,"Cross Country Skiing",1,0,0,1
"Cristian Zorzi",33,Italy,2006,"Cross Country Skiing",1,0,0,1
"Lascelles Brown",31,Canada,2006,Bobsleigh,0,1,0,1
"Valerie Fleming",29,"United States",2006,Bobsleigh,0,1,0,1
"Cédric Grand",30,Switzerland,2006,Bobsleigh,0,0,1,1
"René Hoppe",29,Germany,2006,Bobsleigh,1,0,0,1
"Jennifer Isacco",28,Italy,2006,Bobsleigh,0,0,1,1
"Thomas Lamparter",27,Switzerland,2006,Bobsleigh,0,0,1,1
"Pierre Lueders",35,Canada,2006,Bobsleigh,0,1,0,1
"Sandra Prokoff-Kiriasis",31,Germany,2006,Bobsleigh,1,0,0,1
"Martin Putze",21,Germany,2006,Bobsleigh,1,0,0,1
"Shauna Rohbock",28,"United States",2006,Bobsleigh,0,1,0,1
"Anja Schneiderheinze",27,Germany,2006,Bobsleigh,1,0,0,1
"Aleksey Seliverstov",29,Russia,2006,Bobsleigh,0,1,0,1
"Aleksey Voyevoda",25,Russia,2006,Bobsleigh,0,1,0,1
"Gerda Weissensteiner",37,Italy,2006,Bobsleigh,0,0,1,1
"Filipp Yegorov",27,Russia,2006,Bobsleigh,0,1,0,1
"Aleksandr Zubkov",31,Russia,2006,Bobsleigh,0,1,0,1
"Frode Andresen",32,Norway,2006,Biathlon,0,0,1,1
"Katrin Apel",32,Germany,2006,Biathlon,0,1,0,1
"Sandrine Bailly",26,France,2006,Biathlon,0,0,1,1
"Sylvie Becaert",30,France,2006,Biathlon,0,0,1,1
"Anna Bogaly-Titovets",26,Russia,2006,Biathlon,1,0,0,1
"Ferréol Cannard",27,France,2006,Biathlon,0,0,1,1
"Sergey Chepikov",39,Russia,2006,Biathlon,0,1,0,1
"Ivan Cherezov",25,Russia,2006,Biathlon,0,1,0,1
"Uschi Disl",35,Germany,2006,Biathlon,0,0,1,1
"Ricco Groß",35,Germany,2006,Biathlon,1,0,0,1
"Andrea Henkel",28,Germany,2006,Biathlon,0,1,0,1
"Nikolay Kruglov",24,Russia,2006,Biathlon,0,1,0,1
"Delphine Peretto",24,France,2006,Biathlon,0,0,1,1
"Raphaël Poirée",31,France,2006,Biathlon,0,0,1,1
"Julien Robert",31,France,2006,Biathlon,0,0,1,1
"Michael Rösch",22,Germany,2006,Biathlon,1,0,0,1
"Pavel Rostovtsev",34,Russia,2006,Biathlon,0,1,0,1
"Tomasz Sikora",32,Poland,2006,Biathlon,0,1,0,1
"Liliya Yefremova",28,Ukraine,2006,Biathlon,0,0,1,1
"Olga Zaytseva",27,Russia,2006,Biathlon,1,0,0,1
"Kjetil André Aamodt",34,Norway,2006,"Alpine Skiing",1,0,0,1
"Joël Chenal",32,France,2006,"Alpine Skiing",0,1,0,1
"Antoine Dénériaz",29,France,2006,"Alpine Skiing",1,0,0,1
"Reinfried Herbst",27,Austria,2006,"Alpine Skiing",0,1,0,1
"Ambrosi Hoffmann",28,Switzerland,2006,"Alpine Skiing",0,0,1,1
"Nicole Hosp",22,Austria,2006,"Alpine Skiing",0,1,0,1
"Bruno Kernen",33,Switzerland,2006,"Alpine Skiing",0,0,1,1
"Ivica Kostelic",26,Croatia,2006,"Alpine Skiing",0,1,0,1
"Ted Ligety",21,"United States",2006,"Alpine Skiing",1,0,0,1
"Julia Mancuso",21,"United States",2006,"Alpine Skiing",1,0,0,1
"Alexandra Meissnitzer",32,Austria,2006,"Alpine Skiing",0,0,1,1
"Anna Ottosson",29,Sweden,2006,"Alpine Skiing",0,0,1,1
"Tanja Poutiainen",25,Finland,2006,"Alpine Skiing",0,1,0,1
"Martina Schild",24,Switzerland,2006,"Alpine Skiing",0,1,0,1
"Michael Walchhofer",30,Austria,2006,"Alpine Skiing",0,1,0,1
